Stock Code,Month,avg_close,total_volume
KREN,2020-02,468.63157894736844,481290200
PBSA,2020-03,750.0,0
WICO,2020-03,492.45,28700
MIKA,2020-04,1940.7142857142858,47963300
PANS,2020-04,811.9047619047619,17224500
WINS,2020-04,82.0,5542400
GWSA,2020-05,86.26666666666667,3724800
HERO,2020-05,911.6666666666666,335300
NRCA,2020-05,308.0,11313700
CAKK,2020-02,53.8421052631579,25691800
FMII,2020-02,470.0,800
GJTL,2020-02,462.42105263157896,26319800
IMJS,2020-02,246.42105263157896,8764600
JAWA,2020-02,86.94736842105263,30800
PAMG,2020-02,135.26315789473685,275115300
ADMG,2020-03,96.45,13820000
HERO,2020-03,811.0,670000
WEHA,2020-03,99.9,19147100
HELI,2020-04,181.95238095238096,3045500
RBMS,2020-04,50.0,6433800
BPTR,2020-05,82.93333333333334,146900
MEDC,2020-05,467.8666666666667,930947800
MTWI,2020-05,50.6,4389500
SDPC,2020-05,95.6,950800
LAPD,2020-01,50.0,1000
MPPA,2020-01,137.43478260869566,74935200
PBSA,2020-01,741.7391304347826,248900
SMMA,2020-01,15225.0,8900
BAPI,2020-02,50.0,576800
RELI,2020-02,154.31578947368422,17800
AYLS,2020-03,52.7,261768200
EKAD,2020-03,823.0,4800700
PAMG,2020-03,126.6,651045400
BBMD,2020-04,1135.2380952380952,22196700
HMSP,2020-04,1594.2857142857142,709675900
MGRO,2020-04,649.047619047619,37383700
PZZA,2020-04,587.6190476190476,49071300
DNAR,2020-05,191.06666666666666,5500
CKRA,2020-01,76.0,0
DILD,2020-01,303.4782608695652,42754400
FMII,2020-01,470.0,200
META,2020-01,194.30434782608697,11859900
MYRXP,2020-01,50.0,400
ROTI,2020-01,1293.0434782608695,15176100
YELO,2020-01,76.3913043478261,177974800
ACST,2020-02,696.6842105263158,4851900
BAJA,2020-02,65.3157894736842,19809000
PANS,2020-02,1206.0526315789473,1519200
PTPW,2020-02,884.4117647058823,9505800
KEEN,2020-03,364.7,32482700
BIKA,2020-04,202.04761904761904,2200
BIMA,2020-04,50.0,6300
CLAY,2020-04,2409.0476190476193,2316200
KICI,2020-04,197.0952380952381,310500
PNLF,2020-04,188.8095238095238,402571300
AKPI,2020-05,400.8,1000
BAPI,2020-05,50.0,34100
BKSW,2020-01,156.43478260869566,117700
HDFA,2020-01,127.26086956521739,17300
MGRO,2020-01,862.8260869565217,38992400
PMJS,2020-01,141.95652173913044,226126200
