typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","699","IND","India","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","36141960","false","-1","N/A",,"false","36141960","false",,"false","15795013",,"15795013","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","535576950","false","-1","N/A",,"false","535576950","false",,"false","212602762",,"212602762","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","764","THA","Thailand","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","557890000","false","-1","N/A",,"false","557890000","false",,"false","243131232",,"243131232","0","true","false",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","517495981","false","8","kg","517495981","false","517495981","false","0","false","114077183","0","114077183","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","32","ARG","Argentina","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","164483369","false","8","kg","164483369","false","164483369","false","0","false","32102919","0","32102919","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","36","AUS","Australia","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","900000","false","8","kg","900000","false","900000","false","0","false","498704","0","498704","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","76","BRA","Brazil","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","93841250","false","8","kg","93841250","false","93841250","false","0","false","18621964","0","18621964","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","608","PHL","Philippines","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6570","false","8","kg","6570","false","6570","false","0","false","15416","0","15416","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","699","IND","India","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1554059","false","8","kg","1554059","false","1554059","false","0","false","2452250","0","2452250","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","702","SGP","Singapore","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","364749","false","8","kg","364749","false","364749","false","0","false","1327333","0","1327333","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","112","false","8","kg","112","false","112","false","0","false","998","0","998","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","764","THA","Thailand","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31842610","false","8","kg","31842610","false","31842610","false","0","false","11866195","0","11866195","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","792","TUR","Türkiye","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","144000","false","8","kg","144000","false","144000","false","0","false","69120","0","69120","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","804","UKR","Ukraine","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25107980","false","8","kg","25107980","false","25107980","false","0","false","5517813","0","5517813","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","842","USA","USA","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","199251282","false","8","kg","199251282","false","199251282","false","0","false","41604471","0","41604471","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H5","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","305274646","false","8","kg","305274646","false","305274646","false","0","false","143641724","0","143641724","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","104","MMR","Myanmar","0","W00","World","H5","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","57475000","false","8","kg","57475000","false","57475000","false","0","false","19546137","0","19546137","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","156","CHN","China","0","W00","World","H5","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2418955","false","8","kg","2418955","false","2418955","false","0","false","8118652","0","8118652","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","72071","false","8","kg","72071","false","72071","false","0","false","234990","0","234990","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","586","PAK","Pakistan","0","W00","World","H5","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","87500000","false","8","kg","87500000","false","87500000","false","0","false","34793125","0","34793125","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","608","PHL","Philippines","0","W00","World","H5","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54272","false","8","kg","54272","false","54272","false","0","false","503445","0","503445","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","699","IND","India","0","W00","World","H5","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32209698","false","8","kg","32209698","false","32209698","false","0","false","13397145","0","13397145","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","704","VNM","Viet Nam","0","W00","World","H5","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16599850","false","8","kg","16599850","false","16599850","false","0","false","6761286","0","6761286","0","false","true",
"C","A","20170101","2017","52","2017","360","IDN","Indonesia","M","Import","764","THA","Thailand","0","W00","World","H5","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","108944800","false","8","kg","108944800","false","108944800","false","0","false","60286944","0","60286944","0","false","true",
"C","A","20180101","2018","52","2018","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","737225451.982","true","-1","N/A","0","false","737225451.982","true","0","false","159548397","0","159548397","6","false","true",
"C","A","20180101","2018","52","2018","360","IDN","Indonesia","M","Import","32","ARG","Argentina","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","326580324","false","8","kg","326580324","false","326580324","false","0","false","70276199","0","70276199","0","false","true",
"C","A","20180101","2018","52","2018","360","IDN","Indonesia","M","Import","36","AUS","Australia","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1660008","false","8","kg","1660008","false","1660008","false","0","false","1049260","0","1049260","0","false","true",
"C","A","20180101","2018","52","2018","360","IDN","Indonesia","M","Import","40","AUT","Austria","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14","false","8","kg","14","false","14","false","0","false","167","0","167","0","false","true",
